concurrency,cpuTime,mem,totalPaths,maxPaths,avgPaths
1,211.49,90,1,1,1
1,196.61,90,1,1,1
2,241.96,89,512,2,1.225
2,225.22,90,512,2,1.225
4,225.60,89,663552,6,2.525000000000001
8,302.60,92,483729408,60,15.524999999999999
8,296.95,93,483729408,60,15.524999999999999
10,287.63,93,943718400,66,8.999999999999998
10,400.84,92,943718400,66,8.999999999999998
20,553.32,101,722369249280,700,71.675
20,548.25,102,722369249280,700,71.675
40,419.23,95,8062156800000,196,47.474999999999994
40,423.51,96,8062156800000,196,47.474999999999994
40,398.40,97,8062156800000,196,47.474999999999994


